institucion,fuente,municipio,departamento,sector,latitud,longitud,precision_ubicacion,n_estudiantes,promedio_global,institucion_fuente,n_analisis,promedio_analisis
I.E. Presbitero Libardo Aguirre,Semestre Cero,Concepción,Antioquia,Oficial,6.3953,-75.2575,aproximada,29,183.7241379,I. E. PRESBITERO LIBARDO AGUIRRE,29,183.72
I.E. Pueblo Nuevo,Semestre Cero,Amalfi,Antioquia,Oficial,6.9778,-74.9812,aproximada,39,167.4871795,I. E. PUEBLO NUEVO,39,167.49
I.E.R. Adolfo Moreno Usuga,Semestre Cero,Buriticá,Antioquia,Oficial,6.7119,-75.9086,aproximada,21,195.0952381,I. E. R. ADOLFO MORENO USUGA,21,195.1
I.E.R. Caceri,Semestre Cero,Caucasia,Antioquia,Oficial,7.9869,-75.1972,aproximada,39,155.4871795,I. E. R. CACERI,39,155.49
I.E.R. el Totumo,Semestre Cero,Necoclí,Antioquia,Oficial,8.4286,-76.7861,aproximada,32,168.4375,I. E. R. EL TOTUMO,32,168.44
I.E.R. Guillermo Aguilar,Semestre Cero,Yolombó,Antioquia,Oficial,6.5986,-75.0119,aproximada,20,163.7,I. E. R. GUILLERMO AGUILAR,20,163.7
I.E.R. Jaipera,Semestre Cero,Urrao,Antioquia,Oficial,6.315,-76.1336,aproximada,47,182.6808511,I. E. R. JAIPERA,47,182.68
I.E.R. la Cruzada,Semestre Cero,Remedios,Antioquia,Oficial,7.0269,-74.6975,aproximada,59,144.3389831,I. E. R. LA CRUZADA,59,144.34
I.E.R. la Inmaculada Caucheras,Semestre Cero,Mutatá,Antioquia,Oficial,7.2433,-76.4361,aproximada,24,188.25,I. E. R. LA INMACULADA CAUCHERAS,24,188.25
I.E.R. la Sierra,Semestre Cero,Puerto Nare,Antioquia,Oficial,6.1883,-74.45847,aproximada,31,170.7419355,I. E. R. LA SIERRA,31,170.74
I.E.R. la Union,Semestre Cero,Puerto Nare,Antioquia,Oficial,6.1883,-74.45847,aproximada,24,157.0,I. E. R. LA UNION,24,157.0
I.E.R. Marco A Rojo,Semestre Cero,Valdivia,Antioquia,Oficial,7.1811,-75.4419,aproximada,39,164.7435897,I. E. R. MARCO A ROJO,39,164.74
I.E.R. Mellito,Semestre Cero,Necoclí,Antioquia,Oficial,8.4286,-76.7861,aproximada,43,144.9302326,I. E. R. MELLITO,43,144.93
I.E.R. Porcesito,Semestre Cero,Santo Domingo,Antioquia,Oficial,6.4719,-75.1669,aproximada,21,168.1428571,I. E. R. PORCESITO,21,168.14
I.E.R. San Francisco de Asis,Semestre Cero,Jericó,Antioquia,Oficial,5.7925,-75.7869,aproximada,31,161.9354839,I. E. R. SAN FRANCISCO DE ASIS,31,161.94
I.E.R. Zungo Embarcadero,Semestre Cero,Carepa,Antioquia,Oficial,7.7578,-76.6547,aproximada,29,161.9655172,I. E. R. ZUNGO EMBARCADERO,29,161.97
I.E. San Andres,Semestre Cero,San Andrés de Cuerquia,Antioquia,Oficial,6.9158,-75.6739,aproximada,21,212.3809524,I. E. SAN ANDRES,21,212.38
I.E. San Diego,Semestre Cero,Liborina,Antioquia,Oficial,6.6781,-75.8114,aproximada,34,172.4117647,I. E. SAN DIEGO,34,172.41
I.E. San Jose,Semestre Cero,Angelópolis,Antioquia,Oficial,6.1214,-75.7159,aproximada,96,167.1458333,I. E. SAN JOSE,96,167.15
I.E. San Juan Bosco,Semestre Cero,Caicedo,Antioquia,Oficial,6.4086,-75.9828,aproximada,23,195.7391304,I. E. SAN JUAN BOSCO,23,195.74
I.E. San Juan de Uraba,Semestre Cero,San Juan de Urabá,Antioquia,Oficial,8.7611,-76.5303,aproximada,85,179.7882353,I. E. SAN JUAN DE URABA,85,179.79
I.E. San Luis Gonzaga,Semestre Cero,Santa Fe de Antioquia,Antioquia,Oficial,6.5569,-75.8281,aproximada,39,212.3333333,I. E. SAN LUIS GONZAGA,39,212.33
I.E. San Pedro de Uraba,Semestre Cero,San Pedro de Urabá,Antioquia,Oficial,8.275,-76.369,aproximada,22,170.5454545,I. E. SAN PEDRO DE URABA,22,170.55
I.E. Santa Teresa,Semestre Cero,Argelia,Antioquia,Oficial,5.7319,-75.1431,aproximada,40,203.55,I. E. SANTA TERESA,40,203.55
I.E. Santo Domingo,Semestre Cero,Caucasia,Antioquia,Oficial,7.9869,-75.1972,aproximada,31,146.3870968,I. E. SANTO DOMINGO,31,146.39
I.E. Urbana San Jose,Semestre Cero,Ebéjico,Antioquia,Oficial,6.3267,-75.7686,aproximada,36,214.1111111,I. E. URBANA SAN JOSE,36,214.11
I.E. Vigia del Fuerte,Semestre Cero,Vigía del Fuerte,Antioquia,Oficial,6.5861,-76.8864,aproximada,34,140.8235294,I. E. VIGIA DEL FUERTE,34,140.82
I.E. Municipal Jose de los Santos Zuñiga,Semestre Cero,Chigorodó,Antioquia,Oficial,7.6672,-76.6811,aproximada,47,174.9574468,I.E. MUNICIPAL JOSE DE LOS SANTOS ZUÑIGA,47,174.96
I.E. Pbro. Ricardo Luis Gutierrez Tobon,Semestre Cero,Belmira,Antioquia,Oficial,6.6047,-75.6664,aproximada,28,187.0,I.E. PBRO. RICARDO LUIS GUTIERREZ TOBON,28,187.0
I.E.R. Hojas Anchas,Semestre Cero,Guarne,Antioquia,Oficial,6.28,-75.4428,aproximada,33,171.7272727,I.E.R. HOJAS ANCHAS,33,171.73
Palmira,Semestre Cero,El Peñol,Antioquia,Oficial,6.2186,-75.2417,aproximada,23,164.9130435,PALMIRA,23,164.91
